<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2005.07.19	18:00:00	1.21920	1.21980	1.21720	1.21900	1140	0	40
2005.07.19	21:00:00	1.21850	1.22020	1.21800	1.22010	1026	0	40
2005.07.20	00:00:00	1.22010	1.22040	1.21870	1.21920	761	0	40
2005.07.20	03:00:00	1.21920	1.22000	1.21770	1.21840	1021	0	40
2005.07.20	06:00:00	1.21840	1.21970	1.21770	1.21840	934	0	40
2005.07.20	09:00:00	1.21850	1.21950	1.21390	1.21550	1508	0	40
2005.07.20	12:00:00	1.21550	1.21790	1.21450	1.21570	1447	0	40
2005.07.20	15:00:00	1.21580	1.22470	1.21480	1.22180	1899	0	40
2005.07.20	18:00:00	1.22170	1.22490	1.21860	1.22160	1811	0	40
2005.07.20	21:00:00	1.22120	1.22240	1.22010	1.22160	1147	0	40
2005.07.21	00:00:00	1.22160	1.22490	1.22070	1.22160	1034	0	40
2005.07.21	03:00:00	1.22160	1.22190	1.21930	1.22090	1026	0	40
2005.07.21	06:00:00	1.22090	1.22120	1.21760	1.21840	1023	0	40
2005.07.21	09:00:00	1.21810	1.21870	1.21610	1.21840	1109	0	40
2005.07.21	12:00:00	1.21830	1.22060	1.21090	1.21340	1955	0	40
2005.07.21	15:00:00	1.21320	1.21990	1.21110	1.21780	1713	0	40
2005.07.21	18:00:00	1.21780	1.21830	1.21200	1.21730	1714	0	40
2005.07.21	21:00:00	1.21730	1.21890	1.21570	1.21780	1104	0	40
2005.07.22	00:00:00	1.21770	1.21790	1.21580	1.21650	895	0	40
2005.07.22	03:00:00	1.21660	1.21740	1.21610	1.21650	839	0	40
2005.07.22	06:00:00	1.21660	1.21820	1.21550	1.21610	931	0	40
2005.07.22	09:00:00	1.21600	1.21670	1.21230	1.21460	1290	0	40
2005.07.22	12:00:00	1.21460	1.22310	1.21340	1.21980	1890	0	40
2005.07.22	15:00:00	1.21990	1.22080	1.21320	1.21830	1935	0	40
2005.07.22	18:00:00	1.21830	1.21980	1.21600	1.21900	1566	0	40
2005.07.22	21:00:00	1.21880	1.22030	1.21750	1.21930	903	0	40
2005.07.25	00:00:00	1.21970	1.22170	1.21950	1.22090	572	0	40
2005.07.25	03:00:00	1.22090	1.22140	1.21650	1.21760	730	0	40
2005.07.25	06:00:00	1.21760	1.21830	1.21540	1.21770	785	0	40
2005.07.25	09:00:00	1.21770	1.22010	1.21620	1.21760	1107	0	40
