Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2021-08-02,14758.59961,14896.46973,14584.08984,14835.75977,14835.75977,20421490000,IXIC
2021-08-09,14855.75977,14894.61035,14692.41016,14822.90039,14822.90039,20113470000,IXIC
2021-08-16,14771.53027,14794.67969,14423.16016,14714.66016,14714.66016,19956800000,IXIC
2021-08-23,14776.98047,15144.48047,14776.98047,15129.5,15129.5,18934130000,IXIC
2021-08-30,15165.94043,15380.07031,15165.12012,15363.51953,15363.51953,20162600000,IXIC
2021-09-06,15375.98047,15403.44043,15111.30957,15115.49023,15115.49023,16645800000,IXIC
2021-09-13,15211.42969,15215.44043,14984.67969,15043.96973,15043.96973,24083760000,IXIC
2021-09-20,14758.13965,15085.44043,14530.07031,15047.7002,15047.7002,21295500000,IXIC
2021-09-27,14954.17969,15003.16016,14324.00977,14566.7002,14566.7002,25418990000,IXIC
2021-10-04,14493.12012,14755.71973,14181.69043,14579.54004,14579.54004,20620440000,IXIC
2021-10-11,14540.08008,14904.98047,14441.59961,14897.33984,14897.33984,20306150000,IXIC
2021-10-18,14839.74023,15222.25,14833.28027,15090.2002,15090.2002,23272280000,IXIC
2021-10-25,15142.91992,15504.12012,15070.75,15498.38965,15498.38965,29766610000,IXIC
2021-11-01,15541.25977,16053.38965,15470.82031,15971.58984,15971.58984,26419010000,IXIC
2021-11-08,15995.71973,16038.23047,15543.67969,15860.95996,15860.95996,26421560000,IXIC
2021-11-15,15894.82031,16121.12012,15778.30957,16057.44043,16057.44043,25654580000,IXIC
2021-11-22,16120.91992,16212.23047,15456.08984,15491.66016,15491.66016,18624340000,IXIC
2021-11-29,15719.41992,15833.11035,14931.05957,15085.46973,15085.46973,28925590000,IXIC
2021-12-06,15117.62988,15796.04981,14931.61035,15630.59961,15630.59961,23667670000,IXIC
2021-12-13,15621.26953,15637.05957,14960.37012,15169.67969,15169.67969,27177270000,IXIC
2021-12-20,14933,15697.98047,14860.04004,15653.37012,15653.37012,17122080000,IXIC
2021-12-27,15696.83008,15901.46973,15643.94043,15644.96973,15644.96973,18160800000,IXIC
2022-01-03,15732.5,15852.13965,14877.62988,14935.90039,14935.90039,23537400000,IXIC
